# NAME, OLD VALUE, ANNEALING VALUE
    Apaf_0, 1.000000e+05, 2.838690e+04
     BAR_0, 1.000000e+03, 1.035907e+04
     Bad_0, 1.000000e+03, 5.294436e+01
     Bak_0, 2.000000e+04, 4.999896e+04
     Bax_0, 8.000000e+04, 2.245864e+04
    Bcl2_0, 2.000000e+04, 6.579933e+04
   BclxL_0, 2.000000e+04, 6.609285e+02
     Bid_0, 4.000000e+04, 1.701656e+05
      C3_0, 1.000000e+04, 1.040981e+02
      C6_0, 1.000000e+04, 3.093972e+04
      C8_0, 2.000000e+04, 6.965728e+03
      C9_0, 1.000000e+05, 1.332050e+04
   CytoC_0, 5.000000e+05, 1.877962e+06
       L_0, 3.000000e+03, 4.975858e+02
    Mcl1_0, 2.000000e+04, 1.358219e+05
    NOXA_0, 1.000000e+03, 2.069048e+02
    PARP_0, 1.000000e+06, 1.959084e+06
       R_0, 2.000000e+02, 1.181987e+01
    Smac_0, 1.000000e+05, 5.138959e+03
    XIAP_0, 1.000000e+05, 1.048133e+05
    flip_0, 1.000000e+02, 4.177917e+00
  kapafc9f, 5.000000e-08, 1.221819e-08
  kapafc9r, 1.000000e-03, 1.188817e-03
  kapopc3c, 1.000000e+00, 7.215100e-01
  kapopc3f, 5.000000e-09, 6.091097e-11
  kapopc3r, 1.000000e-03, 4.315496e-05
kapopxiapf, 2.000000e-06, 3.075594e-05
kapopxiapr, 1.000000e-03, 1.204743e-03
 kbadbcl2f, 3.772847e-06, 1.043916e-07
 kbadbcl2r, 1.067663e-03, 1.024650e-05
kbadbclxlf, 5.027869e-05, 1.216270e-04
kbadbclxlr, 2.968948e-04, 2.871156e-05
kbakcytocMCc, 2.735824e+01, 1.751828e-01
kbakcytocMCf, 9.210636e-06, 5.578361e-05
kbakcytocMCr, 2.340883e-03, 3.221096e-03
  kbakdimf, 1.989721e-05, 6.565316e-06
  kbakdimr, 1.179101e-03, 2.987056e-05
kbaksmacCAc, 2.735824e+01, 9.800824e+01
kbaksmacCAf, 9.210636e-06, 9.064998e-05
kbaksmacCAr, 2.340883e-03, 4.423236e-04
  kbaktetf, 1.164887e-04, 6.031042e-05
  kbaktetr, 7.432644e-04, 1.389701e-05
 kbaktrimf, 1.209322e-04, 5.610985e-04
 kbaktrimr, 4.810225e-06, 1.169880e-05
   kbarc8f, 3.743743e-07, 1.584492e-07
   kbarc8r, 1.546713e-03, 8.269944e-03
kbaxCbaxMf, 7.307273e-03, 1.878508e-03
kbaxCbaxMr, 1.074760e-02, 4.510264e-04
kbaxcytocMCc, 1.111743e+01, 6.609127e+00
kbaxcytocMCf, 1.070523e-05, 2.443403e-06
kbaxcytocMCr, 1.140748e-03, 1.888558e-03
  kbaxdimf, 1.900000e-05, 2.997457e-04
  kbaxdimr, 2.531689e-03, 8.161098e-04
kbaxsmacCAc, 1.111743e+01, 9.306823e+00
kbaxsmacCAf, 1.070523e-05, 5.643433e-06
kbaxsmacCAr, 1.140748e-03, 1.941884e-03
  kbaxtetf, 1.160000e-04, 1.085606e-06
  kbaxtetr, 9.020985e-04, 8.646995e-05
 kbaxtrimf, 1.200000e-04, 1.846716e-05
 kbaxtrimr, 4.557456e-04, 1.827521e-04
kbclxlCbclxlMf, 8.083047e-04, 3.408988e-02
kbclxlCbclxlMr, 1.363809e-02, 5.963902e-03
kbidTbidMf, 6.126075e-02, 9.410327e-02
kbidTbidMr, 7.092156e-04, 5.939181e-04
 kbidbcl2f, 1.452800e-06, 7.934153e-07
 kbidbcl2r, 1.707896e-03, 3.753066e-04
kbidbclxlf, 2.537243e-06, 1.992976e-08
kbidbclxlr, 7.776096e-04, 6.134560e-05
 kbidmbaxc, 3.128851e+00, 3.593082e-02
 kbidmbaxf, 1.785192e-08, 3.772605e-09
 kbidmbaxr, 1.270196e-04, 3.478183e-05
 kbidtbakc, 6.161001e-01, 1.055423e-01
 kbidtbakf, 2.384012e-07, 3.742753e-07
 kbidtbakr, 1.166869e-03, 5.477046e-04
 kbidtbaxc, 3.128851e+00, 1.036382e+01
 kbidtbaxf, 1.785192e-08, 4.929972e-09
 kbidtbaxr, 1.270196e-04, 2.390654e-06
    kc3c6c, 1.000000e+00, 7.345264e-01
    kc3c6f, 1.000000e-06, 1.303855e-07
    kc3c6r, 1.000000e-03, 3.057113e-03
  kc3parpc, 1.000000e+00, 8.901554e-01
  kc3parpf, 1.000000e-06, 1.216563e-08
  kc3parpr, 1.000000e-02, 1.065729e-03
    kc6c8c, 1.000000e+00, 1.943111e-01
    kc6c8f, 3.000000e-08, 2.552637e-08
    kc6c8r, 1.000000e-03, 6.154484e-05
   kc8bidc, 1.601337e+01, 7.255259e+00
   kc8bidf, 4.128900e-08, 3.436106e-09
   kc8bidr, 4.567755e-05, 5.596975e-05
    kc8c3c, 1.000000e+00, 4.816859e-03
    kc8c3f, 1.000000e-07, 7.998805e-09
    kc8c3r, 1.000000e-03, 7.100184e-05
kcytocCapafc, 1.000000e+00, 4.021024e-01
kcytocCapaff, 5.000000e-07, 8.242237e-08
kcytocCapafr, 1.000000e-03, 2.473220e-05
kcytocCcytoAf, 2.736850e-02, 3.143719e-03
kcytocCcytoAr, 1.367005e-02, 8.613138e-03
  kdiscc8c, 7.219606e+00, 2.861704e+01
  kdiscc8f, 6.244560e-06, 2.174220e-04
  kdiscc8r, 5.316302e-05, 1.334806e-06
kflipdiscf, 4.206901e-07, 1.312145e-07
kflipdiscr, 7.291465e-05, 1.746036e-05
      klrc, 6.251715e-06, 1.528558e-05
      klrf, 3.167789e-07, 1.086984e-07
      klrr, 3.484123e-03, 2.876875e-05
knoxabclxlf, 1.460646e-05, 1.454233e-07
knoxabclxlr, 1.371903e-03, 1.507664e-03
knoxamcl1f, 5.978033e-06, 5.180732e-07
knoxamcl1r, 6.688218e-05, 1.035319e-04
ksmacCsmacAf, 2.736850e-02, 7.569411e-03
ksmacCsmacAr, 1.599883e-02, 2.904872e-03
ksmacxiapf, 3.000000e-06, 6.974896e-09
ksmacxiapr, 1.848898e-03, 6.844243e-02
  kxiapc3c, 1.000000e-01, 4.521605e-01
  kxiapc3f, 2.000000e-06, 5.073499e-08
  kxiapc3r, 1.000000e-03, 6.112668e-04
