# Name,EARM1,m1,m2
Apaf_0,100000.0,83310.9349382,14403.1846619
BAR_0,1000.0,1043.47928273,1359.03106311
Bad_0,1000.0,1051.26954004,839.174452021
Bak_0,20000.0,18750.3084217,25261.1661696
Bax_0,80000.0,94106.200885,47689.6050908
Bcl2_0,20000.0,20530.3798986,3412.01088934
BclxL_0,20000.0,23917.9788143,1055.35996821
Bid_0,40000.0,35655.9302398,22142.7691972
C3_0,10000.0,9513.81987562,8332.98718464
C6_0,10000.0,8209.44950453,4472.4874161
C8_0,20000.0,18164.9654502,12660.3436921
C9_0,100000.0,101317.02238,24086.9574212
CytoC_0,500000.0,557472.989964,315496.092133
L_0,3000,3249.27691552,2767.87137186
Mcl1_0,20000.0,15833.9564388,13558.1331752
NOXA_0,1000.0,998.468720817,1731.86863948
PARP_0,1000000.0,1375591.42917,1983294.1903
R_0,200,201.994841151,390.221690204
Smac_0,100000.0,113360.251633,106474.548394
XIAP_0,100000.0,108530.339123,30253.798037
flip_0,100.0,99.038347367,90.2680011348
kapafc9f,5e-08,3.49313007028e-08,5.22713630198e-08
kapafc9r,0.001,0.000662361645572,0.00114220710304
kapopc3c,1.0,0.933284876302,1.69648718915
kapopc3f,5e-09,4.51495153114e-09,1.60887901255e-10
kapopc3r,0.001,0.00110517902032,0.000631279362691
kapopxiapf,2e-06,2.03220195458e-06,6.98946324998e-06
kapopxiapr,0.001,0.000698608533452,4.52342460615e-05
kbadbcl2f,1.428571e-05,5.2269314055e-05,4.23076135518e-07
kbadbcl2r,0.001,0.000190376204764,0.0171844744735
kbadbclxlf,1.428571e-05,1.2272141808e-05,6.32462987164e-07
kbadbclxlr,0.001,0.00343329128748,0.100044696085
kbakcytocMCc,10.0,8.85697848381,1.00492403593
kbakcytocMCf,2.857143e-05,2.38376330874e-05,0.000459646703213
kbakcytocMCr,0.001,0.00122163207052,0.00107791373629
kbakdimf,0.0002040816,3.83546959468e-07,1.78296735136e-06
kbakdimr,0.001,0.000620604779278,108.434063796
kbaksmacCAc,10.0,11.0117538876,12.2802194413
kbaksmacCAf,2.857143e-05,3.38097235502e-05,1.79469215704e-05
kbaksmacCAr,0.001,0.00112907747062,0.000905906515876
kbaktetf,0.0002040816,4.50858090679e-06,1.03044244677e-07
kbaktetr,0.001,0.00014110340569,4.46433587906e-06
kbaktrimf,0.0002040816,0.000111376758358,2.22196609335e-05
kbaktrimr,0.001,9.37383680744e-05,8.72081576206e-06
