"# Time","IC-RP","norm IC-RP","EC-RP","norm EC-RP","SMAC gen"
180,0.682,0.0385438972,0.437,0.0119047619,0.0013250224
360,0.673,0.0289079229,0.435,0.0095238095,0.0015011823
540,0.646,0,0.434,0.0083333333,0.0017007224
720,0.675,0.0310492505,0.434,0.0083333333,0.0019267347
900,0.66,0.0149892934,0.435,0.0095238095,0.0021827164
1080,0.661,0.0160599572,0.431,0.0047619048,0.0024726232
1260,0.679,0.0353319058,0.433,0.0071428571,0.002800927
1440,0.661,0.0160599572,0.433,0.0071428571,0.0031726828
1620,0.664,0.0192719486,0.433,0.0071428571,0.0035936026
1800,0.67,0.0256959315,0.431,0.0047619048,0.0040701377
1980,0.667,0.02248394,0.43,0.0035714286,0.0046095722
2160,0.662,0.017130621,0.432,0.005952381,0.0052201257
2340,0.659,0.0139186296,0.427,0,0.0059110689
2520,0.679,0.0353319058,0.43,0.0035714286,0.0066928509
2700,0.677,0.0331905782,0.432,0.005952381,0.0075772413
2880,0.661,0.0160599572,0.433,0.0071428571,0.0085774854
3060,0.679,0.0353319058,0.433,0.0071428571,0.0097084765
3240,0.698,0.0556745182,0.434,0.0083333333,0.0109869426
3420,0.702,0.0599571734,0.432,0.005952381,0.0124316509
3600,0.689,0.0460385439,0.437,0.0119047619,0.014063627
3780,0.687,0.0438972163,0.441,0.0166666667,0.0159063917
3960,0.712,0.0706638116,0.443,0.019047619,0.01798621
4140,0.698,0.0556745182,0.443,0.019047619,0.0203323533
4320,0.711,0.0695931478,0.442,0.0178571429,0.0229773699
4500,0.721,0.0802997859,0.442,0.0178571429,0.0259573572
4680,0.73,0.0899357602,0.443,0.019047619,0.0293122308
4860,0.715,0.073875803,0.444,0.0202380952,0.0330859784
5040,0.741,0.1017130621,0.444,0.0202380952,0.0373268873
5220,0.743,0.1038543897,0.443,0.019047619,0.0420877279
5400,0.769,0.1316916488,0.439,0.0142857143,0.0474258732
5580,0.77,0.1327623126,0.444,0.0202380952,0.0534033298
5760,0.756,0.1177730193,0.437,0.0119047619,0.0600866502
5940,0.772,0.1349036403,0.436,0.0107142857,0.0675466911
6120,0.769,0.1316916488,0.437,0.0119047619,0.07585818
6300,0.801,0.1659528908,0.438,0.0130952381,0.085099045
6480,0.827,0.1937901499,0.439,0.0142857143,0.0953494649
6660,0.849,0.2173447537,0.444,0.0202380952,0.1066905939
6840,0.84,0.2077087794,0.442,0.0178571429,0.119202922
7020,0.876,0.2462526767,0.441,0.0166666667,0.1329642402
7200,0.894,0.2655246253,0.44,0.0154761905,0.148047198
7380,0.871,0.2408993576,0.444,0.0202380952,0.1645164629
7560,0.904,0.2762312634,0.444,0.0202380952,0.1824255238
7740,0.933,0.3072805139,0.449,0.0261904762,0.2018132223
7920,0.965,0.3415417559,0.452,0.0297619048,0.2227001388
8100,0.991,0.369379015,0.454,0.0321428571,0.2450850131
8280,1.043,0.4250535332,0.457,0.0357142857,0.2689414214
8460,1.11,0.4967880086,0.453,0.030952381,0.2942149722
8640,1.159,0.5492505353,0.466,0.0464285714,0.3208213008
8820,1.218,0.6124197002,0.468,0.0488095238,0.3486451353
9000,1.268,0.6659528908,0.466,0.0464285714,0.3775406688
9180,1.263,0.6605995717,0.458,0.0369047619,0.4073334
9360,1.252,0.6488222698,0.471,0.0523809524,0.4378234991
9540,1.254,0.6509635974,0.469,0.05,0.4687906266
9720,1.251,0.647751606,0.473,0.0547619048,0.5
9900,1.252,0.6488222698,0.474,0.055952381,0.5312093734
10080,1.233,0.6284796574,0.473,0.0547619048,0.5621765009
10260,1.243,0.6391862955,0.476,0.0583333333,0.5926666
10440,1.253,0.6498929336,0.473,0.0547619048,0.6224593312
10620,1.244,0.6402569593,0.479,0.0619047619,0.6513548647
10800,1.284,0.6830835118,0.477,0.0595238095,0.6791786992
10980,1.263,0.6605995717,0.482,0.0654761905,0.7057850278
11160,1.248,0.6445396146,0.488,0.0726190476,0.7310585786
11340,1.225,0.6199143469,0.524,0.1154761905,0.7549149869
11520,1.225,0.6199143469,0.594,0.1988095238,0.7772998612
11700,1.262,0.6595289079,0.645,0.2595238095,0.7981867777
11880,1.211,0.6049250535,0.714,0.3416666667,0.8175744762
12060,1.229,0.6241970021,0.757,0.3928571429,0.8354835371
12240,1.254,0.6509635974,0.783,0.4238095238,0.851952802
12420,1.319,0.7205567452,0.826,0.475,0.8670357598
12600,1.269,0.6670235546,0.806,0.4511904762,0.880797078
12780,1.273,0.6713062099,0.828,0.4773809524,0.8933094061
12960,1.361,0.7655246253,0.86,0.5154761905,0.9046505351
13140,1.352,0.755888651,0.875,0.5333333333,0.914900955
13320,1.319,0.7205567452,0.832,0.4821428571,0.92414182
13500,1.312,0.7130620985,0.895,0.5571428571,0.9324533089
13680,1.262,0.6595289079,0.884,0.544047619,0.9399133498
13860,1.275,0.6734475375,0.947,0.619047619,0.9465966702
14040,1.3,0.7002141328,0.963,0.6380952381,0.9525741268
14220,1.281,0.6798715203,0.956,0.6297619048,0.9579122721
14400,1.238,0.6338329764,0.967,0.6428571429,0.9626731127
14580,1.265,0.6627408994,0.973,0.65,0.9669140216
14760,1.242,0.6381156317,0.999,0.680952381,0.9706877692
14940,1.276,0.6745182013,1.004,0.6869047619,0.9740426428
15120,1.255,0.6520342612,1.029,0.7166666667,0.9770226301
15300,1.254,0.6509635974,1.019,0.7047619048,0.9796676467
15480,1.271,0.6691648822,1.035,0.7238095238,0.98201379
15660,1.273,0.6713062099,1.029,0.7166666667,0.9840936083
15840,1.28,0.6788008565,1.023,0.7095238095,0.985936373
16020,1.227,0.6220556745,1.022,0.7083333333,0.9875683491
16200,1.254,0.6509635974,1.042,0.7321428571,0.9890130574
16380,1.264,0.6616702355,1.047,0.7380952381,0.9902915235
16560,1.234,0.6295503212,1.041,0.730952381,0.9914225146
16740,1.256,0.6531049251,0.996,0.6773809524,0.9924227587
16920,1.249,0.6456102784,1.042,0.7321428571,0.9933071491
17100,1.31,0.7109207709,1.073,0.769047619,0.9940889311
17280,1.285,0.6841541756,1.064,0.7583333333,0.9947798743
17460,1.304,0.704496788,1.062,0.755952381,0.9953904278
17640,1.308,0.7087794433,1.069,0.7642857143,0.9959298623
17820,1.299,0.699143469,1.076,0.7726190476,0.9964063974
18000,1.28,0.6788008565,1.066,0.7607142857,0.9968273172
18180,1.298,0.6980728051,1.048,0.7392857143,0.997199073
18360,1.268,0.6659528908,1.041,0.730952381,0.9975273768
18540,1.292,0.6916488223,0.999,0.680952381,0.9978172836
18720,1.261,0.6584582441,0.975,0.6523809524,0.9980732653
18900,1.272,0.670235546,0.96,0.6345238095,0.9982992776
19080,1.271,0.6691648822,1.004,0.6869047619,0.9984988177
19260,1.264,0.6616702355,1.023,0.7095238095,0.9986749776
19440,1.275,0.6734475375,1.033,0.7214285714,0.9988304897
19620,1.28,0.6788008565,1.039,0.7285714286,0.998967769
19800,1.254,0.6509635974,1.046,0.7369047619,0.9990889488
19980,1.241,0.6370449679,1.044,0.7345238095,0.9991959141
20160,1.268,0.6659528908,1.045,0.7357142857,0.9992903296
20340,1.273,0.6713062099,1.06,0.7535714286,0.9993736658
20520,1.248,0.6445396146,1.047,0.7380952381,0.9994472214
20700,1.234,0.6295503212,1.056,0.7488095238,0.9995121429
20880,1.24,0.6359743041,1.064,0.7583333333,0.9995694429
21060,1.238,0.6338329764,1.057,0.75,0.9996200155
21240,1.243,0.6391862955,1.069,0.7642857143,0.9996646499
21420,1.254,0.6509635974,1.066,0.7607142857,0.9997040429
21600,1.248,0.6445396146,1.072,0.7678571429,0.9997388097
21780,1.238,0.6338329764,1.071,0.7666666667,0.9997694933
21960,1.202,0.5952890792,1.067,0.7619047619,0.999796573
22140,1.17,0.5610278373,1.061,0.7547619048,0.999820472
22320,1.175,0.5663811563,1.075,0.7714285714,0.9998415638
22500,1.201,0.5942184154,1.069,0.7642857143,0.9998601779
22680,1.158,0.5481798715,1.067,0.7619047619,0.9998766054
22860,1.145,0.534261242,1.075,0.7714285714,0.9998911031
23040,1.157,0.5471092077,1.081,0.7785714286,0.9999038976
23220,1.185,0.5770877944,1.071,0.7666666667,0.999915189
23400,1.146,0.5353319058,1.076,0.7726190476,0.9999251538
23580,1.194,0.5867237687,1.077,0.7738095238,0.9999339479
