# Time,Frame,IC-RP,norm_IC-RP,nrm_var_IC-RP,gen_IMS-RP,var_IMS-RP,EC-RP,norm_EC-RP,nrm_var_EC-RP
180,1,0.6657,0.0098,0.0000943297,0.0000,8.0779E-28,0.4486,0.0019,0.000017569
360,2,0.6657,0.0098,0.0000943297,0.0000,1.9662E-27,0.4486,0.0019,0.000017569
540,3,0.6657,0.0098,0.0000943297,0.0000,4.7810E-27,0.4486,0.0019,0.000017569
720,4,0.6657,0.0098,0.0000943297,0.0000,1.1631E-26,0.4486,0.0019,0.000017569
900,5,0.6657,0.0098,0.0000943297,0.0000,2.8283E-26,0.4486,0.0019,0.000017569
1080,6,0.6657,0.0098,0.0000943297,0.0000,6.8802E-26,0.4486,0.0019,0.000017569
1260,7,0.6657,0.0098,0.0000943297,0.0000,1.6736E-25,0.4486,0.0019,0.000017569
1440,8,0.6657,0.0098,0.0000943297,0.0000,4.0710E-25,0.4486,0.0019,0.000017569
1620,9,0.6657,0.0098,0.0000943297,0.0000,9.9025E-25,0.4486,0.0019,0.000017569
1800,10,0.6657,0.0098,0.0000943297,0.0000,2.4087E-24,0.4486,0.0019,0.000017569
1980,11,0.6657,0.0098,0.0000943297,0.0000,5.8591E-24,0.4486,0.0019,0.000017569
2160,12,0.6579,0.0000,0.0000705801,0.0000,1.4252E-23,0.4486,0.0019,0.000017569
2340,13,0.6597,0.0023,0.0000465358,0.0000,3.4666E-23,0.4486,0.0019,0.000017569
2520,14,0.6666,0.0109,0.0000876080,0.0000,8.4323E-23,0.4486,0.0019,0.000017569
2700,15,0.6589,0.0013,0.0000602634,0.0000,2.0511E-22,0.4486,0.0019,0.000017569
2880,16,0.6627,0.0060,0.0000368507,0.0000,4.9891E-22,0.4486,0.0019,0.000017569
3060,17,0.6604,0.0031,0.0000812916,0.0000,1.2136E-21,0.4486,0.0019,0.000017569
3240,18,0.6608,0.0036,0.0000618793,0.0000,2.9519E-21,0.4486,0.0019,0.000017569
3420,19,0.6613,0.0043,0.0000402195,0.0000,7.1803E-21,0.4486,0.0019,0.000017569
3600,20,0.6628,0.0062,0.0000914610,0.0000,1.7466E-20,0.4486,0.0019,0.000017569
3780,21,0.6698,0.0150,0.0001522034,0.0000,4.2484E-20,0.4486,0.0019,0.000017569
3960,22,0.6604,0.0031,0.0000619214,0.0000,1.0334E-19,0.4486,0.0019,0.000017569
4140,23,0.6687,0.0136,0.0000747489,0.0000,2.5136E-19,0.4486,0.0019,0.000017569
4320,24,0.6732,0.0192,0.0000716697,0.0000,6.1142E-19,0.4486,0.0019,0.000017569
4500,25,0.6797,0.0274,0.0000680115,0.0000,1.4872E-18,0.4486,0.0019,0.000017569
4680,26,0.6782,0.0255,0.0000426144,0.0000,3.6176E-18,0.4478,0.0010,1.80623064110984E-005
4860,27,0.6792,0.0268,0.0000579842,0.0000,8.7995E-18,0.4473,0.0004,2.94711608020236E-005
5040,28,0.6804,0.0283,0.0001106627,0.0000,2.1404E-17,0.4470,0.0000,3.672760332454E-005
5220,29,0.6869,0.0365,0.0000943718,0.0000,5.2064E-17,0.4493,0.0028,3.44047194575588E-005
5400,30,0.6874,0.0371,0.0000379193,0.0000,1.2664E-16,0.4495,0.0030,3.36098683408337E-005
5580,31,0.6867,0.0362,0.0000594844,0.0000,3.0805E-16,0.4510,0.0048,3.87832527643463E-005
5760,32,0.6903,0.0408,0.0002316054,0.0000,7.4930E-16,0.4507,0.0045,9.1414730588188E-005
5940,33,0.7038,0.0577,0.0001757845,0.0000,1.8226E-15,0.4507,0.0045,5.26314778238417E-005
6120,34,0.7014,0.0547,0.0002022500,0.0000,4.4334E-15,0.4474,0.0005,6.676749380491E-005
6300,35,0.7015,0.0548,0.0001325647,0.0000,1.0784E-14,0.4503,0.0040,8.48366523808077E-005
6480,36,0.7103,0.0659,0.0001016988,0.0000,2.6231E-14,0.4503,0.0040,0.0001277312
6660,37,0.7177,0.0752,0.0002405535,0.0000,6.3804E-14,0.4511,0.0050,0.000111752
6840,38,0.7200,0.0781,0.0005911066,0.0000,1.5520E-13,0.4528,0.0070,0.0001259154
7020,39,0.7313,0.0923,0.0004307814,0.0000,3.7751E-13,0.4551,0.0098,0.0001645136
7200,40,0.7337,0.0953,0.0004177276,0.0000,9.1826E-13,0.4525,0.0067,0.0001107652
7380,41,0.7375,0.1001,0.0004643845,0.0000,2.2336E-12,0.4540,0.0085,0.000104427
7560,42,0.7315,0.0926,0.0005217582,0.0000,5.4329E-12,0.4548,0.0094,0.0001239968
7740,43,0.7451,0.1097,0.0006934791,0.0000,1.3215E-11,0.4561,0.0110,0.0001778068
7920,44,0.7551,0.1223,0.0009152888,0.0001,3.2143E-11,0.4565,0.0115,0.0001879206
8100,45,0.7730,0.1448,0.0015477202,0.0001,7.8179E-11,0.4574,0.0126,0.0002001106
8280,46,0.7792,0.1526,0.0017926689,0.0001,1.9015E-10,0.4579,0.0132,0.0002467396
8460,47,0.7989,0.1774,0.0035370018,0.0002,4.6245E-10,0.4600,0.0157,0.0002141987
8640,48,0.8007,0.1796,0.0038258282,0.0003,1.1246E-09,0.4620,0.0182,0.0002514744
8820,49,0.8221,0.2065,0.0080774162,0.0005,2.7345E-09,0.4623,0.0185,0.000285331
9000,50,0.8301,0.2166,0.0096260839,0.0008,6.6475E-09,0.4642,0.0208,0.0003183242
9180,51,0.8406,0.2298,0.0086039643,0.0013,1.6155E-08,0.4655,0.0224,0.0003489465
9360,52,0.8435,0.2335,0.0084921699,0.0020,3.9240E-08,0.4682,0.0257,0.0003442254
9540,53,0.8570,0.2504,0.0089056550,0.0031,9.5236E-08,0.4719,0.0301,0.000501092
9720,54,0.8724,0.2698,0.0107935326,0.0048,2.3086E-07,0.4719,0.0301,0.0005102739
9900,55,0.8863,0.2873,0.0099345963,0.0075,5.5853E-07,0.4708,0.0288,0.0004478301
10080,56,0.9000,0.3045,0.0109658431,0.0116,1.3473E-06,0.4729,0.0313,0.0005119184
10260,57,0.9062,0.3123,0.0102196486,0.0180,3.2350E-06,0.4750,0.0339,0.0005465287
10440,58,0.9228,0.3332,0.0116012484,0.0278,7.7129E-06,0.4761,0.0352,0.0005738619
10620,59,0.9518,0.3697,0.0140123106,0.0427,1.8191E-05,0.4764,0.0356,0.0005856134
10800,60,0.9582,0.3777,0.0141573765,0.0650,4.2210E-05,0.4775,0.0369,0.0005429998
