# NAME, OLD VALUE, ANNEALING VALUE
    Apaf_0, 1.000000e+05, 3.966171e+04
     BAR_0, 1.000000e+03, 8.754960e+02
     Bad_0, 1.000000e+03, 1.359693e+03
     Bak_0, 2.000000e+04, 1.818234e+04
     Bax_0, 8.000000e+04, 1.760262e+05
    Bcl2_0, 2.000000e+04, 2.950296e+04
   BclxL_0, 2.000000e+04, 3.254878e+04
     Bid_0, 4.000000e+04, 8.418259e+04
      C3_0, 1.000000e+04, 1.828407e+04
      C6_0, 1.000000e+04, 1.103476e+04
      C8_0, 2.000000e+04, 1.456195e+04
      C9_0, 1.000000e+05, 6.292227e+04
   CytoC_0, 5.000000e+05, 7.716940e+05
       L_0, 3.000000e+03, 3.422367e+03
    Mcl1_0, 2.000000e+04, 2.079496e+04
    NOXA_0, 1.000000e+03, 5.748237e+02
    PARP_0, 1.000000e+06, 1.850307e+05
       R_0, 2.000000e+02, 2.444606e+01
    Smac_0, 1.000000e+05, 9.815741e+03
    XIAP_0, 1.000000e+05, 3.353376e+04
 bakbclxlf, 1.396402e-04, 3.211262e-04
 bakbclxlr, 3.348602e-04, 4.207398e-04
  bakmcl1f, 1.136108e-04, 1.219403e-04
  bakmcl1r, 1.179826e-02, 2.096075e-02
  baxbcl2f, 3.965873e-04, 2.937945e-05
  baxbcl2r, 1.232887e-03, 2.608746e-03
 baxbclxlf, 2.537243e-06, 2.755416e-06
 baxbclxlr, 7.776096e-04, 7.120637e-04
 bidbclxlf, 2.537243e-06, 4.420966e-06
 bidbclxlr, 7.776096e-04, 9.420829e-05
    flip_0, 1.000000e+02, 1.706729e+02
  kapafc9f, 5.000000e-08, 8.452107e-08
  kapafc9r, 1.000000e-03, 6.380286e-04
  kapopc3c, 1.000000e+00, 7.988006e-01
  kapopc3f, 5.000000e-09, 5.823092e-09
  kapopc3r, 1.000000e-03, 8.591904e-04
kapopxiapf, 2.000000e-06, 2.522179e-06
kapopxiapr, 1.000000e-03, 1.283858e-03
kbadCbadMf, 4.914813e+00, 9.397548e+00
kbadCbadMr, 1.404111e-03, 7.198105e-04
 kbadbcl2f, 3.772847e-06, 2.625483e-06
 kbadbcl2r, 1.067663e-03, 7.925127e-04
kbadbclxlf, 5.027869e-05, 1.247188e-05
kbadbclxlr, 2.968948e-04, 2.843480e-04
  kbakbakc, 6.161001e-01, 1.315032e+00
  kbakbakf, 2.384012e-07, 8.351911e-08
  kbakbakr, 1.166869e-03, 1.224527e-03
kbakcytocMCc, 2.735824e+01, 2.632149e+01
kbakcytocMCf, 9.210636e-06, 4.048621e-06
kbakcytocMCr, 2.340883e-03, 2.005157e-03
  kbakdimf, 1.989721e-05, 1.042536e-05
  kbakdimr, 1.179101e-03, 2.867684e-03
kbaksmacCAc, 2.735824e+01, 7.443395e+01
kbaksmacCAf, 9.210636e-06, 1.554426e-05
kbaksmacCAr, 2.340883e-03, 3.031964e-03
  kbaktetf, 1.164887e-04, 4.551634e-05
  kbaktetr, 7.432644e-04, 7.116742e-04
 kbaktrimf, 1.209322e-04, 3.692139e-05
 kbaktrimr, 4.810225e-06, 4.184518e-06
   kbarc8f, 3.743743e-07, 2.365309e-07
   kbarc8r, 1.546713e-03, 1.403537e-03
kbaxCbaxMf, 7.307273e-03, 9.607583e-03
kbaxCbaxMr, 1.074760e-02, 2.298060e-04
  kbaxbaxc, 3.128851e+00, 6.758163e+00
  kbaxbaxf, 1.785192e-08, 3.468514e-09
  kbaxbaxr, 1.270196e-04, 1.194876e-04
kbaxbclxl_RAc, 3.128851e+00, 3.039061e+00
kbaxbclxl_RAf, 1.785192e-08, 6.503873e-08
kbaxbclxl_RAr, 1.270196e-04, 1.813733e-04
kbaxcytocMCc, 1.111743e+01, 5.556561e+00
kbaxcytocMCf, 1.070523e-05, 1.465617e-05
kbaxcytocMCr, 1.140748e-03, 2.472639e-04
  kbaxdimf, 1.900000e-05, 4.065829e-06
  kbaxdimr, 2.531689e-03, 2.407207e-03
kbaxsmacCAc, 1.111743e+01, 2.084413e+01
kbaxsmacCAf, 1.070523e-05, 8.537716e-06
kbaxsmacCAr, 1.140748e-03, 9.777452e-04
  kbaxtetf, 1.160000e-04, 1.077489e-05
  kbaxtetr, 9.020985e-04, 1.771003e-03
 kbaxtrimf, 1.200000e-04, 3.458630e-05
 kbaxtrimr, 4.557456e-04, 2.614268e-04
kbcl2Cbcl2Mf, 2.185086e-02, 2.780793e-02
kbcl2Cbcl2Mr, 1.395190e-03, 2.622859e-03
kbclxlCbclxlMf, 8.083047e-04, 1.329549e-03
kbclxlCbclxlMr, 1.363809e-02, 2.124460e-02
