#Name,EARM1,M1,M2
Apaf_0,100000.0,106074.292648,27309.9638508
BAR_0,1000.0,958.377897449,1157.35442917
Bad_0,1000.0,983.560790905,524.516207713
Bak_0,20000.0,20685.9844682,28285.0043051
Bax_0,80000.0,77815.9544099,107712.616822
Bcl2_0,20000.0,18020.9333407,13365.3480109
BclxL_0,20000.0,19359.8667214,26909.8179315
Bid_0,40000.0,39159.1732546,11496.6392333
C3_0,10000.0,10134.0740447,10511.7131198
C6_0,10000.0,9747.91515168,7394.10526569
C8_0,20000.0,19021.5932037,17809.4990402
C9_0,100000.0,108895.627791,72804.6292499
CytoC_0,500000.0,521795.443836,717517.20676
L_0,3000,3019.73332476,741.984473397
Mcl1_0,20000.0,21704.8805879,23230.4026566
NOXA_0,1000.0,1022.12210218,1227.75327332
PARP_0,1000000.0,1006546.35569,1302617.78264
R_0,200,205.411934876,112.230887313
Smac_0,100000.0,97268.4783922,10165.6513042
XIAP_0,100000.0,99439.3593313,215889.417654
bakbclxlf,1.428571e-05,1.69514543153e-05,4.98634426196e-09
bakbclxlr,0.001,0.00187329188585,4.68083111456e-05
bakmcl1f,1.428571e-05,3.5626071964e-05,6.09582148427e-06
bakmcl1r,0.001,0.00144009620097,3.48777156351e-05
baxbcl2f,1.428571e-05,2.23213209937e-06,0.000289996243329
baxbcl2r,0.001,0.00164781992214,0.00290542591676
baxbclxlf,1.428571e-05,1.4066762076e-06,1.56443498199e-07
baxbclxlr,0.001,0.00147146613205,0.000999585921502
bidbclxlf,1.428571e-05,3.2630921421e-06,1.03274792183e-07
bidbclxlr,0.001,0.0025662400787,2.94976918985e-05
flip_0,100.0,104.902081119,68.7749626703
kapafc9f,5e-08,5.10788654362e-08,2.15328915162e-08
kapafc9r,0.001,0.00105054951789,0.00182205582006
kapopc3c,1.0,0.973657616327,1.848542408
kapopc3f,5e-09,4.72839858069e-09,6.11627957433e-09
kapopc3r,0.001,0.000988214139303,0.00115497591478
kapopxiapf,2e-06,2.08780437752e-06,1.86556120737e-06
kapopxiapr,0.001,0.000994391254558,0.00114811027104
kbadCbadMf,0.01,0.00470092366124,2.90060662446e-05
kbadCbadMr,0.01,0.0165757225648,0.00571776730043
kbadbcl2f,1.428571e-05,2.22798766606e-05,5.56078563819e-06
kbadbcl2r,0.001,0.00275547621753,0.000645555428515
kbadbclxlf,1.428571e-05,1.13758775806e-05,0.000153709645045
kbadbclxlr,0.001,0.00250113435344,0.000667789917554
kbakbakc,1.0,1.83608331298,1.5588710007
kbakbakf,1e-07,5.9911562638e-08,9.06914774663e-08
kbakbakr,0.001,0.00027114592051,0.000398594387645
kbakcytocMCc,1.0,0.978395122438,1.19194885073
kbakcytocMCf,2.857143e-05,2.88778687229e-05,4.06867655578e-05
kbakcytocMCr,0.001,0.0010206581296,0.000340493676052
kbakdimf,0.0002040816,0.00071319092279,5.00762456979e-05
kbakdimr,0.001,0.00305591133253,0.000707122512048
kbaksmacCAc,1.0,1.01079571812,0.10682171642
kbaksmacCAf,2.857143e-05,2.95262232339e-05,3.45594162298e-05
kbaksmacCAr,0.001,0.00103490690802,0.000854689653474
kbaktetf,0.0002040816,0.000201735072724,0.000381086266
kbaktetr,0.001,0.000463453766591,0.0216808833878
kbaktrimf,0.0002040816,2.64976957912e-05,0.000164481632102
