# Time,IC-RP,norm_IC-RP,nrm_var_IC-RP,gen_IMS-RP,var_IMS-RP,EC-RP,norm_EC-RP,nrm_var_EC-RP,Frame
180,0.6657,0.012322275,0.0001194908,0.0000,8.0779E-28,0.4486,0.002439396,2.34209E-05,1
360,0.6657,0.012322275,0.0001194908,0.0000,1.9662E-27,0.4486,0.002439396,2.34209E-05,2
540,0.6657,0.012322275,0.0001194908,0.0000,4.7810E-27,0.4486,0.002439396,2.34209E-05,3
720,0.6657,0.012322275,0.0001194908,0.0000,1.1631E-26,0.4486,0.002439396,2.34209E-05,4
900,0.6657,0.012322275,0.0001194908,0.0000,2.8283E-26,0.4486,0.002439396,2.34209E-05,5
1080,0.6657,0.012322275,0.0001194908,0.0000,6.8802E-26,0.4486,0.002439396,2.34209E-05,6
1260,0.6657,0.012322275,0.0001194908,0.0000,1.6736E-25,0.4486,0.002439396,2.34209E-05,7
1440,0.6657,0.012322275,0.0001194908,0.0000,4.0710E-25,0.4486,0.002439396,2.34209E-05,8
1620,0.6657,0.012322275,0.0001194908,0.0000,9.9025E-25,0.4486,0.002439396,2.34209E-05,9
1800,0.6657,0.012322275,0.0001194908,0.0000,2.4087E-24,0.4486,0.002439396,2.34209E-05,10
1980,0.6657,0.012322275,0.0001194908,0.0000,5.8591E-24,0.4486,0.002439396,2.34209E-05,11
2160,0.6579,0,0.0000894064,0.0000,1.4252E-23,0.4486,0.002439396,2.34209E-05,12
2340,0.6597,0.002843602,0.0000589486,0.0000,3.4666E-23,0.4486,0.002439396,2.34209E-05,13
2520,0.6666,0.013744076,0.0001109762,0.0000,8.4323E-23,0.4486,0.002439396,2.34209E-05,14
2700,0.6589,0.001579779,0.0000763378,0.0000,2.0511E-22,0.4486,0.002439396,2.34209E-05,15
2880,0.6627,0.007582938,0.0000466802,0.0000,4.9891E-22,0.4486,0.002439396,2.34209E-05,16
3060,0.6604,0.003949447,0.0001029751,0.0000,1.2136E-21,0.4486,0.002439396,2.34209E-05,17
3240,0.6608,0.004581359,0.0000783848,0.0000,2.9519E-21,0.4486,0.002439396,2.34209E-05,18
3420,0.6613,0.005371248,0.0000509475,0.0000,7.1803E-21,0.4486,0.002439396,2.34209E-05,19
3600,0.6628,0.007740916,0.0001158570,0.0000,1.7466E-20,0.4486,0.002439396,2.34209E-05,20
3780,0.6698,0.018799368,0.0001928015,0.0000,4.2484E-20,0.4486,0.002439396,2.34209E-05,21
3960,0.6604,0.003949447,0.0000784381,0.0000,1.0334E-19,0.4486,0.002439396,2.34209E-05,22
4140,0.6687,0.017061611,0.0000946872,0.0000,2.5136E-19,0.4486,0.002439396,2.34209E-05,23
4320,0.6732,0.024170616,0.0000907866,0.0000,6.1142E-19,0.4486,0.002439396,2.34209E-05,24
4500,0.6797,0.034439179,0.0000861526,0.0000,1.4872E-18,0.4486,0.002439396,2.34209E-05,25
4680,0.6782,0.03206951,0.0000539812,0.0000,3.6176E-18,0.4478,0.001219698,2.40786E-05,26
4860,0.6792,0.033649289,0.0000734507,0.0000,8.7995E-18,0.4473,0.000457387,3.89618E-05,27
5040,0.6804,0.035545024,0.0001401805,0.0000,2.1404E-17,0.4470,0,4.83366E-05,28
5220,0.6869,0.045813586,0.0001195442,0.0000,5.2064E-17,0.4493,0.003506632,4.48904E-05,29
5400,0.6874,0.046603476,0.0000480337,0.0000,1.2664E-16,0.4495,0.003811557,4.31614E-05,30
5580,0.6867,0.04549763,0.0000753510,0.0000,3.0805E-16,0.4510,0.006098491,4.9805E-05,31
5760,0.6903,0.051184834,0.0002933829,0.0000,7.4930E-16,0.4507,0.005641104,0.000117394,32
5940,0.7038,0.072511848,0.0002226726,0.0000,1.8226E-15,0.4507,0.005641104,6.74087E-05,33
6120,0.7014,0.068720379,0.0002561975,0.0000,4.4334E-15,0.4474,0.000609849,8.55136E-05,34
6300,0.7015,0.068878357,0.0001679246,0.0000,1.0784E-14,0.4503,0.005031255,0.000107222,35
6480,0.7103,0.082780411,0.0001288255,0.0000,2.6231E-14,0.4503,0.005031255,0.000161435,36
6660,0.7177,0.094470774,0.0003047179,0.0000,6.3804E-14,0.4511,0.006250953,0.000139951,37
6840,0.7200,0.098104265,0.0007487762,0.0000,1.5520E-13,0.4528,0.008842811,0.000157633,38
7020,0.7313,0.115955766,0.0005456865,0.0000,3.7751E-13,0.4551,0.012349444,0.000205954,39
7200,0.7337,0.119747235,0.0005291508,0.0000,9.1826E-13,0.4525,0.008385425,0.000137963,40
7380,0.7375,0.125750395,0.0005882527,0.0000,2.2336E-12,0.4540,0.010672359,0.000127818,41
7560,0.7315,0.116271722,0.0006607253,0.0000,5.4329E-12,0.4548,0.011892057,0.000151771,42
7740,0.7451,0.137756714,0.0008781831,0.0000,1.3215E-11,0.4561,0.013874066,0.000217634,43
7920,0.7551,0.153554502,0.0011526337,0.0001,3.2143E-11,0.4565,0.014483915,0.000230014,44
8100,0.7730,0.181832543,0.0019490618,0.0001,7.8179E-11,0.4574,0.015856076,0.000243451,45
8280,0.7792,0.191627172,0.0022182918,0.0001,1.9015E-10,0.4579,0.016618387,0.000300179,46
8460,0.7989,0.222748815,0.0043660679,0.0002,4.6245E-10,0.4600,0.019820095,0.000260591,47
8640,0.8007,0.225592417,0.0047225945,0.0003,1.1246E-09,0.4620,0.02286934,0.00030594,48
8820,0.8221,0.259399684,0.0099707462,0.0005,2.7345E-09,0.4623,0.023326727,0.000347129,49
9000,0.8301,0.272037915,0.0118824185,0.0008,6.6475E-09,0.4642,0.02622351,0.000387268,50
9180,0.8406,0.288625592,0.0106207161,0.0013,1.6155E-08,0.4655,0.028205519,0.000424522,51
9360,0.8435,0.293206951,0.0104827173,0.0020,3.9240E-08,0.4682,0.032322,0.000415246,52
9540,0.8570,0.314533965,0.0109931225,0.0031,9.5236E-08,0.4719,0.037963104,0.000604478,53
9720,0.8724,0.338862559,0.0133235148,0.0048,2.3086E-07,0.4719,0.037963104,0.000615554,54
9900,0.8863,0.360821485,0.0122632455,0.0075,5.5853E-07,0.4708,0.036286019,0.00053523,55
10080,0.9000,0.382464455,0.0135362145,0.0116,1.3473E-06,0.4729,0.039487727,0.000611826,56
10260,0.9062,0.392259084,0.0124621697,0.0180,3.2350E-06,0.4750,0.042689434,0.000650953,57
10440,0.9228,0.418483412,0.0141469372,0.0278,7.7129E-06,0.4761,0.044366519,0.000680357,58
10620,0.9518,0.464296998,0.0166214744,0.0427,1.8191E-05,0.4764,0.044823906,0.000688507,59
10800,0.9582,0.474407583,0.0167935522,0.0650,4.2210E-05,0.4775,0.046500991,0.000638406,60
10980,0.9689,0.491311216,0.0173718051,0.0978,9.5595E-05,0.4781,0.047415765,0.00074768,61
11160,0.9801,0.509004739,0.0169226294,0.1446,2.0903E-04,0.4817,0.052904406,0.000650005,62
11340,0.9867,0.51943128,0.0175132386,0.2086,4.3518E-04,0.4851,0.058088123,0.000734088,63
11520,1.0018,0.54328594,0.0145352036,0.2913,8.4879E-04,0.4903,0.066016161,0.001158715,64
11700,1.0102,0.556556082,0.0160621327,0.3907,1.5263E-03,0.4961,0.074858972,0.001218984,65
11880,1.0131,0.561137441,0.0131082970,0.5000,2.5000E-03,0.5175,0.107485897,0.001950336,66
12060,1.0330,0.592575039,0.0137417441,0.6093,3.7127E-03,0.5718,0.190272907,0.003578748,67
